FID,vid,cid,id,source,project,pcode,name,visit_date,visit_onsite,visit_onsite_novisitreason,geom,longitude,latitude,location_origin,province,province_old,territoire,collectivite,groupement,village,workers_numb,access_dry,access_wet,is_3t_mine,is_gold_mine,mineral1,selling_points_mineral1,final_destination_mineral1,mineral2,selling_points_mineral2,final_destination_mineral2,mineral3,selling_points_mineral3,final_destination_mineral3,mercury,presence,interference,armed_group1,type_armed_group1,frequency_armed_group1,taxation_armed_group1,commerce_taxation_armed_group1,entrance_taxation_armed_group1,monopoly_armed_group1,buying_minerals_armed_group1,digging_armed_group1,forced_labour_armed_group1,pillaging_armed_group1,armed_group2,type_armed_group2,frequency_armed_group2,taxation_armed_group2,commerce_taxation_armed_group2,entrance_taxation_armed_group2,monopoly_armed_group2,buying_minerals_armed_group2,digging_armed_group2,forced_labour_armed_group2,pillaging_armed_group2,state_service1,state_service2,state_service3,state_service4,itsci,traceability,qualification,childunder15,childunder15work,women,womenwork
cod_mines_curated_all_opendata_p_ipis.fid--3e60154c_17e6949c6d6_2e7f,3212,2575,305,IPIS,IPIS - IOM 2016-2018,codmine02842,Wasiga wansanga,2017-03-30,1,,POINT (28.4937066667 -2.6748783333),28.49370667,-2.67487833,GPS,Sud-Kivu,Sud-Kivu,Walungu,Ngweshe,Mulamba,Nshanga,13,less2h,,0,1,Or,Nzibira,Bukavu,,,,,,,0,0,0,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
cod_mines_curated_all_opendata_p_ipis.fid--3e60154c_17e6949c6d6_2e80,3213,2576,311,IPIS,IPIS - IOM 2016-2018,codmine02848,Kamisange,2017-03-30,1,,POINT (27.712675 -3.6579116667),27.712675,-3.65791167,GPS,Sud-Kivu,Sud-Kivu,Shabunda,Wakabango,Ikama kasanza,Malanga,80,more2h,,0,1,Or,Kitindi,Bukavu,,,,,,,0,0,0,,0,,,,,,,,,,,0,,,,,,,,,,SAESSCAM,Division des mines,,,,,,,,,
cod_mines_curated_all_opendata_p_ipis.fid--3e60154c_17e6949c6d6_2e81,3214,2577,312,IPIS,IPIS - IOM 2016-2018,codmine02849,Kamisange 2,2017-03-30,1,,POINT (27.7120966667 -3.6605516667),27.71209667,-3.66055167,GPS,Sud-Kivu,Sud-Kivu,Shabunda,Wakabango,Ikama kasanza,Milanga,26,more2h,,0,1,Or,Kitindi,Bukavu,,,,,,,0,0,0,,0,,,,,,,,,,,0,,,,,,,,,,SAESSCAM,Division des mines,,,,,,,,,
cod_mines_curated_all_opendata_p_ipis.fid--3e60154c_17e6949c6d6_2e82,3215,2578,315,IPIS,IPIS - IOM 2016-2018,codmine02852,Ruzizi,2017-03-30,1,,POINT (27.7128316667 -3.65699),27.71283167,-3.65699,GPS,Sud-Kivu,Sud-Kivu,Shabunda,Wakabango,Ikama kasansa,Milanga,30,more2h,,0,1,Or,Kitindi,Bukavu,,,,,,,0,0,0,,0,,,,,,,,,,,0,,,,,,,,,,SAESSCAM,Division des mines,,,,,,,,,
cod_mines_curated_all_opendata_p_ipis.fid--3e60154c_17e6949c6d6_2e83,3216,2579,78,IPIS,IPIS - IOM 2016-2018,codmine00717,Camp Mishale,2017-03-31,1,,POINT (27.737485 -3.726643),27.737485,-3.726643,GPS,Sud-Kivu,Sud-Kivu,Shabunda,Wakabango,Ikama-Kasanza,Kabilongo,20,more2h,,0,1,Or,Kitindi,Bukavu,,,,,,,0,0,0,,0,,,,,,,,,,,0,,,,,,,,,,SAESSCAM,Division des mines,,,,,,,,,
cod_mines_curated_all_opendata_p_ipis.fid--3e60154c_17e6949c6d6_2e84,3217,2580,306,IPIS,IPIS - IOM 2016-2018,codmine02843,Kachuba,2017-03-31,1,,POINT (28.5269116667 -2.6169883333),28.52691167,-2.61698833,GPS,Sud-Kivu,Sud-Kivu,Kabare,Nindja,Luhago,Mihande,800,less2h,,1,0,Cassitérite,Nzibira,Bukavu,,,,,,,,0,0,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
cod_mines_curated_all_opendata_p_ipis.fid--3e60154c_17e6949c6d6_2e85,3218,2581,316,IPIS,IPIS - IOM 2016-2018,codmine02853,Regeza kimpugu,2017-03-31,1,,POINT (27.711035 -3.66778),27.711035,-3.66778,GPS,Sud-Kivu,Sud-Kivu,Shabunda,Wakabango,Ikama kasanza,Milanga,66,more2h,,0,1,Or,Kitindi,Bukavu,,,,,,,0,0,0,,0,,,,,,,,,,,0,,,,,,,,,,SAESSCAM,Division des mines,,,,,,,,,
cod_mines_curated_all_opendata_p_ipis.fid--3e60154c_17e6949c6d6_2e86,3219,2582,115,IPIS,IPIS - IOM 2016-2018,codmine00905,Chigirha,2017-04-01,1,,POINT (28.600356 -2.754019),28.600356,-2.754019,GPS,Sud-Kivu,Sud-Kivu,Walungu,Ngweshe,Tubimbi,Nyarusanga,16,less2h,,0,1,Or,"Bwahungu, Burhale",Bukavu,,,,,,,0,0,0,,0,,,,,,,,,,,0,,,,,,,,,,Division des mines,,,,,,,,,,
cod_mines_curated_all_opendata_p_ipis.fid--3e60154c_17e6949c6d6_2e87,3220,2583,146,IPIS,IPIS - IOM 2016-2018,codmine01079,Kalombo Mishimwa,2017-04-01,1,,POINT (27.377576 -7.532007),27.377576,-7.532007,GPS,Haut-Lomami,Katanga,Malemba-Nkulu,Museka,Lumbule,Kanunka,250,carmoto,,1,0,Cassitérite,Kanunka,Lubumbashi,,,,,,,,0,0,,0,,,,,,,,,,,0,,,,,,,,,,SAESSCAM,iTSCi (via SAESSCAM),Division des mines,Police des Mines,Actif,iTSCI,,,,,
cod_mines_curated_all_opendata_p_ipis.fid--3e60154c_17e6949c6d6_2e88,3221,2584,147,IPIS,IPIS - IOM 2016-2018,codmine01082,Malenge,2017-04-01,1,,POINT (27.402143 -7.543987),27.402143,-7.543987,GPS,Haut-Lomami,Katanga,Malemba-Nkulu,Museka,Lumbule,Kanunka,500,carmoto,,1,0,Cassitérite,Kanunka,Lubumbashi,,,,,,,,0,0,,0,,,,,,,,,,,0,,,,,,,,,,SAESSCAM,iTSCi (via SAESSCAM),Division des mines,Police des Mines,Actif,iTSCI,,,,,
