Mininum Longitude,Minimum Latitude,Maximum Longitude,Maximum Latitude,Percent Vegetation Loss,Percent Bare Initial,Percent Significant VH Values,Average NIR/G,Average SWIR1/B,NASA Elev,GEDI Elev,Elev Loss,GEDI Qual. Flag,B5 Value,B6 Value,Center Lon,Center Lat,Elevation Score,Band Variation Score,Status
26.95367225,-10.39143953,26.95595918,-10.38919034,48.55384616,48.34566286,24.89890989,0.381021846,0.615931572,977.5211541,-2251.999476,-3224.722512,0.731991525,0.14039289,0.172280939,26.95481572,-10.39031494,5,6,Pass,Fail
26.95595918,-10.39143953,26.95824612,-10.38919034,100,99.69378149,60.43021057,0.357245043,0.612688789,973.4661904,-4718.812654,-5684.990388,-999,0.182782027,0.214247546,26.95710265,-10.39031494,7,4,Pass,Pass
26.95824612,-10.39143953,26.96053305,-10.38919034,100,99.4486831,37.8750144,0.362364373,0.614003678,971.6118064,970.1392686,5.476613588,1,0.198890653,0.231032029,26.95938958,-10.39031494,6,2,Pass,Pass
26.96053305,-10.39143953,26.96281998,-10.38919034,100,99.69378149,58.7703625,0.365523818,0.620807041,970.0111918,968.976966,5.554654043,1,0.206591449,0.239895916,26.96167652,-10.39031494,6,3,Pass,Pass
26.96281998,-10.39143953,26.96510692,-10.38919034,100,94.30160238,24.89894521,0.384649091,0.617317058,967.1941769,-2556.763828,-3518.337974,0.174311927,0.183867705,0.220858161,26.96396345,-10.39031494,6,5,Pass,Fail
26.97882851,-10.39143953,26.98111544,-10.38919034,0,60.35555947,15.46878015,0.404266786,0.597215142,954.0763693,-6241.238044,-7190.185507,0.313285458,0.156044199,0.207701977,26.97997198,-10.39031494,5,4,Pass,Fail
26.95367225,-10.39368873,26.95595918,-10.39143953,82.6717848,88.41924608,54.91002091,0.376736634,0.609571885,981.7160412,-3635.420245,-4610.390138,0.382628229,0.178479188,0.211622975,26.95481572,-10.39256413,4,4,Pass,Pass
26.95595918,-10.39368873,26.95824612,-10.39143953,100,99.63253212,33.54051495,0.36795499,0.593435199,977.8228619,979.5783647,7.264524134,0.726829268,0.17305301,0.206346155,26.95710265,-10.39256413,4,0,Pass,Pass
26.95824612,-10.39368873,26.96053305,-10.39143953,100,99.26488446,50.53136633,0.353006713,0.586391937,975.8099297,977.9240256,7.888298141,1,0.183709369,0.211731783,26.95938958,-10.39256413,3,0,Pass,Pass
26.96053305,-10.39368873,26.96281998,-10.39143953,100,99.63253212,35.97796966,0.367160742,0.618070184,969.8384739,-1309.226769,-2271.844457,0.550053821,0.186521477,0.217964381,26.96167652,-10.39256413,6,1,Pass,Pass
26.96281998,-10.39368873,26.96510692,-10.39143953,100,99.38743368,23.92281324,0.368545709,0.624077981,965.6227522,-7567.223074,-8525.707172,-999,0.182125464,0.216746851,26.96396345,-10.39256413,8,4,Pass,Fail
26.96510692,-10.39368873,26.96739385,-10.39143953,0,90.25747803,12.65626112,0.335523585,0.582489812,966.2098793,968.3107061,7.472668086,1,0.21137282,0.240057083,26.96625038,-10.39256413,5,6,Pass,Fail
26.96739385,-10.39368873,26.96968078,-10.39143953,0,99.14233473,51.05525232,0.301991592,0.562060132,965.8348456,-3003.618338,-3962.599319,0.293440736,0.219513486,0.239323913,26.96853731,-10.39256413,5,5,Pass,Pass
