"[29.558391747700675, 3.1406513045026148]","[29.558391747700675, 3.145143159428014]","[29.553900074800623, 3.145143159428014]","[29.553900074800623, 3.1406513045026148]"
"[29.562883420600727, 3.1406513044472795]","[29.562883420600727, 3.145143159428014]","[29.558391747700675, 3.145143159428014]","[29.558391747700675, 3.1406513044472795]"
"[29.56737509350078, 3.1406513043919357]","[29.56737509350078, 3.145143159428014]","[29.562883420600727, 3.145143159428014]","[29.562883420600727, 3.1406513043919357]"
"[29.57186676640083, 3.1406513043365836]","[29.57186676640083, 3.145143159428014]","[29.56737509350078, 3.145143159428014]","[29.56737509350078, 3.1406513043365836]"
"[29.594325130901122, 3.149634995824337]","[29.594325130901122, 3.1541268511926543]","[29.58983345800107, 3.1541268511926543]","[29.58983345800107, 3.149634995824337]"
"[29.594325130901122, 3.145143139401931]","[29.594325130901122, 3.149634994770248]","[29.58983345800107, 3.149634994770248]","[29.58983345800107, 3.145143139401931]"
"[29.603308476701226, 3.145143139291117]","[29.603308476701226, 3.149634994770248]","[29.598816803801174, 3.149634994770248]","[29.598816803801174, 3.145143139291117]"
"[29.607800149601278, 3.1451431392356977]","[29.607800149601278, 3.149634994770248]","[29.603308476701226, 3.149634994770248]","[29.603308476701226, 3.1451431392356977]"
"[29.594325130901122, 3.140651282979525]","[29.594325130901122, 3.145143138347842]","[29.58983345800107, 3.145143138347842]","[29.58983345800107, 3.140651282979525]"
"[29.598816803801174, 3.140651282924122]","[29.598816803801174, 3.145143138347842]","[29.594325130901122, 3.145143138347842]","[29.594325130901122, 3.140651282924122]"
"[29.603308476701226, 3.1406512828687108]","[29.603308476701226, 3.145143138347842]","[29.598816803801174, 3.145143138347842]","[29.598816803801174, 3.1406512828687108]"
"[29.7021252805024, 3.1541268331092036]","[29.7021252805024, 3.158618689809506]","[29.69763360760235, 3.158618689809506]","[29.69763360760235, 3.1541268331092036]"
"[29.778483719803315, 3.154126814303398]","[29.778483719803315, 3.158618671950121]","[29.773992046903263, 3.158618671950121]","[29.773992046903263, 3.154126814303398]"
"[29.782975392703367, 3.1496349555961856]","[29.782975392703367, 3.154126813298656]","[29.778483719803315, 3.154126813298656]","[29.778483719803315, 3.1496349555961856]"
"[29.778483719803315, 3.145143097000468]","[29.778483719803315, 3.1496349546471913]","[29.773992046903263, 3.1496349546471913]","[29.773992046903263, 3.145143097000468]"
"[29.980609000305716, 3.2170128284219124]","[29.980609000305716, 3.2215046885855987]","[29.976117327405664, 3.2215046885855987]","[29.976117327405664, 3.2170128284219124]"
"[29.54491672900052, 3.136159359071968]","[29.54491672900052, 3.1406512138314113]","[29.540425056100467, 3.1406512138314113]","[29.540425056100467, 3.136159359071968]"
"[29.553900074800623, 3.1361593589613395]","[29.553900074800623, 3.1406512138314113]","[29.54940840190057, 3.1406512138314113]","[29.54940840190057, 3.1361593589613395]"
"[29.558391747700675, 3.136159358906012]","[29.558391747700675, 3.1406512138314113]","[29.553900074800623, 3.1406512138314113]","[29.553900074800623, 3.136159358906012]"
"[29.562883420600727, 3.136159358850677]","[29.562883420600727, 3.1406512138314113]","[29.558391747700675, 3.1406512138314113]","[29.558391747700675, 3.136159358850677]"
"[29.56737509350078, 3.136159358795333]","[29.56737509350078, 3.1406512138314113]","[29.562883420600727, 3.1406512138314113]","[29.562883420600727, 3.136159358795333]"
"[29.57186676640083, 3.136159358739981]","[29.57186676640083, 3.1406512138314113]","[29.56737509350078, 3.1406512138314113]","[29.56737509350078, 3.136159358739981]"
"[29.576358439300883, 3.1361593586846204]","[29.576358439300883, 3.1406512138314113]","[29.57186676640083, 3.1406512138314113]","[29.57186676640083, 3.1361593586846204]"
